,Actual,Predicted,DATE,STATION_CODES,PredictedDelay,Predicted_Delay
10308,Partly Cloudy,Mostly Cloudy,2004-03-15,14,No Delay,None
10309,Clear,Clear,2004-03-16,14,No Delay,None
10310,Mostly Cloudy,Mostly Cloudy,2004-03-17,14,No Delay,None
10311,Mostly Cloudy,Mostly Cloudy,2004-03-18,14,No Delay,None
10312,Mostly Cloudy,Mostly Cloudy,2004-03-19,14,No Delay,None
10313,Mostly Cloudy,Mostly Cloudy,2004-03-20,14,No Delay,None
10314,Mostly Cloudy,Mostly Cloudy,2004-03-21,14,No Delay,None
10315,Mostly Cloudy,Mostly Cloudy,2004-03-22,14,No Delay,None
10316,Clear,Partly Cloudy,2004-03-23,14,No Delay,None
10317,Mostly Cloudy,Mostly Cloudy,2004-03-24,14,No Delay,None
10318,Mostly Cloudy,Mostly Cloudy,2004-03-25,14,No Delay,None
10319,Mostly Cloudy,Mostly Cloudy,2004-03-26,14,No Delay,None
10320,Mostly Cloudy,Mostly Cloudy,2004-03-27,14,No Delay,None
10321,Clear,Clear,2004-03-28,14,No Delay,None
10322,Mostly Cloudy,Mostly Cloudy,2004-03-29,14,No Delay,None
10323,Mostly Cloudy,Mostly Cloudy,2004-03-30,14,No Delay,None
10324,Mostly Cloudy,Mostly Cloudy,2004-03-31,14,No Delay,None
10325,Clear,Clear,2004-04-01,14,No Delay,None
10326,Clear,Clear,2004-04-02,14,No Delay,None
10327,Clear,Clear,2004-04-03,14,No Delay,None
10328,Clear,Partly Cloudy,2004-04-04,14,No Delay,None
10329,Mostly Cloudy,Mostly Cloudy,2004-04-05,14,No Delay,None
10330,Mostly Cloudy,Mostly Cloudy,2004-04-06,14,No Delay,None
10331,Mostly Cloudy,Mostly Cloudy,2004-04-07,14,No Delay,None
10332,Clear,Clear,2004-04-08,14,No Delay,None
10333,Clear,Clear,2004-04-09,14,No Delay,None
10334,Partly Cloudy,Clear,2004-04-10,14,No Delay,None
10335,Mostly Cloudy,Mostly Cloudy,2004-04-11,14,No Delay,None
10336,Mostly Cloudy,Mostly Cloudy,2004-04-12,14,No Delay,None
10337,Mostly Cloudy,Mostly Cloudy,2004-04-13,14,No Delay,None
10338,Mostly Cloudy,Mostly Cloudy,2004-04-14,14,No Delay,None
10339,Mostly Cloudy,Mostly Cloudy,2004-04-15,14,No Delay,None
10340,Mostly Cloudy,Mostly Cloudy,2004-04-16,14,No Delay,None
10341,Mostly Cloudy,Mostly Cloudy,2004-04-17,14,No Delay,None
10342,Mostly Cloudy,Mostly Cloudy,2004-04-18,14,No Delay,None
10343,Mostly Cloudy,Mostly Cloudy,2004-04-19,14,No Delay,None
10344,Mostly Cloudy,Mostly Cloudy,2004-04-20,14,No Delay,None
10345,Mostly Cloudy,Partly Cloudy,2004-04-21,14,No Delay,None
10346,Mostly Cloudy,Mostly Cloudy,2004-04-22,14,No Delay,None
10347,Mostly Cloudy,Mostly Cloudy,2004-04-23,14,No Delay,None
10348,Clear,Clear,2004-04-24,14,No Delay,None
10349,Clear,Clear,2004-04-25,14,No Delay,None
10350,Clear,Clear,2004-04-26,14,No Delay,None
10351,Clear,Clear,2004-04-27,14,No Delay,None
10352,Clear,Clear,2004-04-28,14,No Delay,None
10353,Clear,Clear,2004-04-29,14,No Delay,None
10354,Clear,Clear,2004-04-30,14,No Delay,None
10355,Mostly Cloudy,Mostly Cloudy,2004-05-01,14,No Delay,None
10356,Clear,Clear,2004-05-02,14,No Delay,None
10357,Clear,Clear,2004-05-03,14,No Delay,None
10358,Mostly Cloudy,Mostly Cloudy,2004-05-04,14,No Delay,None
10359,Mostly Cloudy,Partly Cloudy,2004-05-05,14,No Delay,None
10360,Mostly Cloudy,Clear,2004-05-06,14,No Delay,None
10361,Mostly Cloudy,Mostly Cloudy,2004-05-07,14,No Delay,None
10362,Mostly Cloudy,Mostly Cloudy,2004-05-08,14,No Delay,None
10363,Mostly Cloudy,Partly Cloudy,2004-05-09,14,No Delay,None
10364,Mostly Cloudy,Mostly Cloudy,2004-05-10,14,No Delay,None
10365,Mostly Cloudy,Mostly Cloudy,2004-05-11,14,No Delay,None
10366,Mostly Cloudy,Mostly Cloudy,2004-05-12,14,No Delay,None
10367,Clear,Clear,2004-05-13,14,No Delay,None
10368,Mostly Cloudy,Mostly Cloudy,2004-05-14,14,No Delay,None
10369,Mostly Cloudy,Mostly Cloudy,2004-05-15,14,No Delay,None
10370,Mostly Cloudy,Mostly Cloudy,2004-05-16,14,No Delay,None
10371,Mostly Cloudy,Partly Cloudy,2004-05-17,14,No Delay,None
10372,Mostly Cloudy,Mostly Cloudy,2004-05-18,14,No Delay,None
10373,Mostly Cloudy,Partly Cloudy,2004-05-19,14,No Delay,None
10374,Clear,Partly Cloudy,2004-05-20,14,No Delay,None
10375,Mostly Cloudy,Mostly Cloudy,2004-05-21,14,No Delay,None
10376,Mostly Cloudy,Mostly Cloudy,2004-05-22,14,No Delay,None
10377,Mostly Cloudy,Partly Cloudy,2004-05-23,14,No Delay,None
10378,Clear,Clear,2004-05-24,14,No Delay,None
10379,Mostly Cloudy,Rain,2004-05-25,14,No Delay,None
10380,Mostly Cloudy,Partly Cloudy,2004-05-26,14,No Delay,None
10381,Mostly Cloudy,Mostly Cloudy,2004-05-27,14,No Delay,None
10382,Mostly Cloudy,Mostly Cloudy,2004-05-28,14,No Delay,None
10383,Mostly Cloudy,Mostly Cloudy,2004-05-29,14,No Delay,None
10384,Mostly Cloudy,Mostly Cloudy,2004-05-30,14,No Delay,None
10385,Mostly Cloudy,Mostly Cloudy,2004-05-31,14,No Delay,None
10386,Clear,Clear,2004-06-01,14,No Delay,None
10387,Clear,Mostly Cloudy,2004-06-02,14,No Delay,None
10388,Clear,Partly Cloudy,2004-06-03,14,No Delay,None
10389,Clear,Mostly Cloudy,2004-06-04,14,No Delay,None
10390,Mostly Cloudy,Mostly Cloudy,2004-06-05,14,No Delay,None
10391,Mostly Cloudy,Mostly Cloudy,2004-06-06,14,No Delay,None
10392,Mostly Cloudy,Mostly Cloudy,2004-06-07,14,No Delay,None
10393,Mostly Cloudy,Mostly Cloudy,2004-06-08,14,No Delay,None
10394,Mostly Cloudy,Mostly Cloudy,2004-06-09,14,No Delay,None
10395,Mostly Cloudy,Mostly Cloudy,2004-06-10,14,No Delay,None
10396,Mostly Cloudy,Mostly Cloudy,2004-06-11,14,No Delay,None
10397,Clear,Clear,2004-06-12,14,No Delay,None
10398,Mostly Cloudy,Mostly Cloudy,2004-06-13,14,No Delay,None
10399,Mostly Cloudy,Mostly Cloudy,2004-06-14,14,No Delay,None
10400,Clear,Partly Cloudy,2004-06-15,14,No Delay,None
10401,Clear,Mostly Cloudy,2004-06-16,14,No Delay,None
10402,Clear,Clear,2004-06-17,14,No Delay,None
10403,Clear,Partly Cloudy,2004-06-18,14,No Delay,None
10404,Clear,Clear,2004-06-19,14,No Delay,None
10405,Clear,Clear,2004-06-20,14,No Delay,None
10406,Clear,Clear,2004-06-21,14,No Delay,None
10407,Mostly Cloudy,Mostly Cloudy,2004-06-22,14,No Delay,None
10408,Mostly Cloudy,Mostly Cloudy,2004-06-23,14,No Delay,None
10409,Mostly Cloudy,Mostly Cloudy,2004-06-24,14,No Delay,None
10410,Mostly Cloudy,Mostly Cloudy,2004-06-25,14,No Delay,None
10411,Mostly Cloudy,Fog,2004-06-26,14,Delay,Delay
10412,Clear,Clear,2004-06-27,14,No Delay,None
10413,Clear,Clear,2004-06-28,14,No Delay,None
10414,Clear,Mostly Cloudy,2004-06-29,14,No Delay,None
10415,Clear,Mostly Cloudy,2004-06-30,14,No Delay,None
10416,Clear,Mostly Cloudy,2004-07-01,14,No Delay,None
10417,Mostly Cloudy,Mostly Cloudy,2004-07-02,14,No Delay,None
10418,Mostly Cloudy,Mostly Cloudy,2004-07-03,14,No Delay,None
10419,Clear,Clear,2004-07-04,14,No Delay,None
10420,Clear,Clear,2004-07-05,14,No Delay,None
10421,Clear,Mostly Cloudy,2004-07-06,14,No Delay,None
10422,Mostly Cloudy,Mostly Cloudy,2004-07-07,14,No Delay,None
10423,Clear,Clear,2004-07-08,14,No Delay,None
10424,Mostly Cloudy,Mostly Cloudy,2004-07-09,14,No Delay,None
10425,Mostly Cloudy,Mostly Cloudy,2004-07-10,14,No Delay,None
10426,Clear,Mostly Cloudy,2004-07-11,14,No Delay,None
10427,Clear,Clear,2004-07-12,14,No Delay,None
10428,Clear,Fair,2004-07-13,14,No Delay,None
10429,Clear,Clear,2004-07-14,14,No Delay,None
10430,Mostly Cloudy,Clear,2004-07-15,14,No Delay,None
10431,Clear,Clear,2004-07-16,14,No Delay,None
10432,Clear,Clear,2004-07-17,14,No Delay,None
10433,Clear,Partly Cloudy,2004-07-18,14,No Delay,None
10434,Mostly Cloudy,Partly Cloudy,2004-07-19,14,No Delay,None
10435,Mostly Cloudy,Mostly Cloudy,2004-07-20,14,No Delay,None
10436,Clear,Clear,2004-07-21,14,No Delay,None
10437,Clear,Clear,2004-07-22,14,No Delay,None
10438,Clear,Clear,2004-07-23,14,No Delay,None
10439,Clear,Clear,2004-07-24,14,No Delay,None
10440,Clear,Partly Cloudy,2004-07-25,14,No Delay,None
10441,Clear,Clear,2004-07-26,14,No Delay,None
10442,Clear,Clear,2004-07-27,14,No Delay,None
10443,Clear,Clear,2004-07-28,14,No Delay,None
10444,Clear,Clear,2004-07-29,14,No Delay,None
10445,Clear,Clear,2004-07-30,14,No Delay,None
10446,Clear,Clear,2004-07-31,14,No Delay,None
10447,Clear,Clear,2004-08-01,14,No Delay,None
10448,Clear,Partly Cloudy,2004-08-02,14,No Delay,None
10449,Mostly Cloudy,Mostly Cloudy,2004-08-03,14,No Delay,None
10450,Mostly Cloudy,Partly Cloudy,2004-08-04,14,No Delay,None
10451,Mostly Cloudy,Mostly Cloudy,2004-08-05,14,No Delay,None
10452,Mostly Cloudy,Mostly Cloudy,2004-08-06,14,No Delay,None
10453,Clear,Clear,2004-08-07,14,No Delay,None
10454,Clear,Clear,2004-08-08,14,No Delay,None
10455,Clear,Clear,2004-08-09,14,No Delay,None
10456,Clear,Clear,2004-08-10,14,No Delay,None
10457,Clear,Clear,2004-08-11,14,No Delay,None
10458,Clear,Clear,2004-08-12,14,No Delay,None
10459,Clear,Clear,2004-08-13,14,No Delay,None
10460,Partly Cloudy,Clear,2004-08-14,14,No Delay,None
10461,Clear,Clear,2004-08-15,14,No Delay,None
10462,Clear,Clear,2004-08-16,14,No Delay,None
10463,Clear,Clear,2004-08-17,14,No Delay,None
10464,Clear,Clear,2004-08-18,14,No Delay,None
10465,Clear,Clear,2004-08-19,14,No Delay,None
10466,Clear,Clear,2004-08-20,14,No Delay,None
10467,Mostly Cloudy,Mostly Cloudy,2004-08-21,14,No Delay,None
10468,Mostly Cloudy,Mostly Cloudy,2004-08-22,14,No Delay,None
10469,Mostly Cloudy,Mostly Cloudy,2004-08-23,14,No Delay,None
10470,Mostly Cloudy,Mostly Cloudy,2004-08-24,14,No Delay,None
10471,Mostly Cloudy,Mostly Cloudy,2004-08-25,14,No Delay,None
10472,Mostly Cloudy,Mostly Cloudy,2004-08-26,14,No Delay,None
10473,Clear,Clear,2004-08-27,14,No Delay,None
10474,Clear,Clear,2004-08-28,14,No Delay,None
10475,Clear,Clear,2004-08-29,14,No Delay,None
10476,Clear,Clear,2004-08-30,14,No Delay,None
10477,Clear,Clear,2004-08-31,14,No Delay,None
10478,Mostly Cloudy,Mostly Cloudy,2004-09-01,14,No Delay,None
10479,Clear,Mostly Cloudy,2004-09-02,14,No Delay,None
10480,Mostly Cloudy,Mostly Cloudy,2004-09-03,14,No Delay,None
10481,Mostly Cloudy,Mostly Cloudy,2004-09-04,14,No Delay,None
10482,Clear,Clear,2004-09-05,14,No Delay,None
10483,Clear,Clear,2004-09-06,14,No Delay,None
10484,Clear,Clear,2004-09-07,14,No Delay,None
10485,Clear,Clear,2004-09-08,14,No Delay,None
10486,Clear,Mostly Cloudy,2004-09-09,14,No Delay,None
10487,Mostly Cloudy,Mostly Cloudy,2004-09-10,14,No Delay,None
10488,Mostly Cloudy,Mostly Cloudy,2004-09-11,14,No Delay,None
10489,Mostly Cloudy,Mostly Cloudy,2004-09-12,14,No Delay,None
10490,Mostly Cloudy,Mostly Cloudy,2004-09-13,14,No Delay,None
10491,Mostly Cloudy,Mostly Cloudy,2004-09-14,14,No Delay,None
10492,Mostly Cloudy,Mostly Cloudy,2004-09-15,14,No Delay,None
10493,Mostly Cloudy,Mostly Cloudy,2004-09-16,14,No Delay,None
10494,Mostly Cloudy,Mostly Cloudy,2004-09-17,14,No Delay,None
10495,Mostly Cloudy,Mostly Cloudy,2004-09-18,14,No Delay,None
10496,Mostly Cloudy,Mostly Cloudy,2004-09-19,14,No Delay,None
10497,Mostly Cloudy,Mostly Cloudy,2004-09-20,14,No Delay,None
10498,Clear,Partly Cloudy,2004-09-21,14,No Delay,None
10499,Clear,Mostly Cloudy,2004-09-22,14,No Delay,None
10500,Clear,Clear,2004-09-23,14,No Delay,None
10501,Mostly Cloudy,Mostly Cloudy,2004-09-24,14,No Delay,None
10502,Mostly Cloudy,Fog,2004-09-25,14,Delay,Delay
10503,Mostly Cloudy,Mostly Cloudy,2004-09-26,14,No Delay,None
10504,Clear,Clear,2004-09-27,14,No Delay,None
10505,Clear,Partly Cloudy,2004-09-28,14,No Delay,None
10506,Mostly Cloudy,Mostly Cloudy,2004-09-29,14,No Delay,None
10507,Mostly Cloudy,Mostly Cloudy,2004-09-30,14,No Delay,None
10508,Mostly Cloudy,Mostly Cloudy,2004-10-01,14,No Delay,None
10509,Mostly Cloudy,Clear,2004-10-02,14,No Delay,None
10510,Mostly Cloudy,Mostly Cloudy,2004-10-03,14,No Delay,None
10511,Mostly Cloudy,Mostly Cloudy,2004-10-04,14,No Delay,None
10512,Mostly Cloudy,Partly Cloudy,2004-10-05,14,No Delay,None
10513,Mostly Cloudy,Mostly Cloudy,2004-10-06,14,No Delay,None
10514,Mostly Cloudy,Mostly Cloudy,2004-10-07,14,No Delay,None
10515,Mostly Cloudy,Mostly Cloudy,2004-10-08,14,No Delay,None
10516,Mostly Cloudy,Partly Cloudy,2004-10-09,14,No Delay,None
10517,Mostly Cloudy,Mostly Cloudy,2004-10-10,14,No Delay,None
10518,Clear,Clear,2004-10-11,14,No Delay,None
10519,Clear,Mostly Cloudy,2004-10-12,14,No Delay,None
10520,Clear,Clear,2004-10-13,14,No Delay,None
10521,Clear,Clear,2004-10-14,14,No Delay,None
10522,Mostly Cloudy,Partly Cloudy,2004-10-15,14,No Delay,None
10523,Mostly Cloudy,Mostly Cloudy,2004-10-16,14,No Delay,None
10524,Mostly Cloudy,Mostly Cloudy,2004-10-17,14,No Delay,None
10525,Mostly Cloudy,Mostly Cloudy,2004-10-18,14,No Delay,None
10526,Mostly Cloudy,Mostly Cloudy,2004-10-19,14,No Delay,None
10527,Mostly Cloudy,Mostly Cloudy,2004-10-20,14,No Delay,None
10528,Mostly Cloudy,Mostly Cloudy,2004-10-21,14,No Delay,None
10529,Mostly Cloudy,Mostly Cloudy,2004-10-22,14,No Delay,None
10530,Mostly Cloudy,Mostly Cloudy,2004-10-23,14,No Delay,None
10531,Mostly Cloudy,Mostly Cloudy,2004-10-24,14,No Delay,None
10532,Mostly Cloudy,Mostly Cloudy,2004-10-25,14,No Delay,None
10533,Mostly Cloudy,Mostly Cloudy,2004-10-26,14,No Delay,None
10534,Mostly Cloudy,Mostly Cloudy,2004-10-27,14,No Delay,None
10535,Mostly Cloudy,Mostly Cloudy,2004-10-28,14,No Delay,None
10536,Mostly Cloudy,Mostly Cloudy,2004-10-29,14,No Delay,None
10537,Mostly Cloudy,Mostly Cloudy,2004-10-30,14,No Delay,None
10538,Mostly Cloudy,Clear,2004-10-31,14,No Delay,None
10539,Mostly Cloudy,Mostly Cloudy,2004-11-01,14,No Delay,None
10540,Mostly Cloudy,Mostly Cloudy,2004-11-02,14,No Delay,None
10541,Mostly Cloudy,Clear,2004-11-03,14,No Delay,None
10542,Clear,Clear,2004-11-04,14,No Delay,None
10543,Mostly Cloudy,Mostly Cloudy,2004-11-05,14,No Delay,None
10544,Mostly Cloudy,Mostly Cloudy,2004-11-06,14,No Delay,None
10545,Mostly Cloudy,Mostly Cloudy,2004-11-07,14,No Delay,None
10546,Mostly Cloudy,Mostly Cloudy,2004-11-08,14,No Delay,None
10547,Mostly Cloudy,Mostly Cloudy,2004-11-09,14,No Delay,None
10548,Mostly Cloudy,Mostly Cloudy,2004-11-10,14,No Delay,None
10549,Mostly Cloudy,Mostly Cloudy,2004-11-11,14,No Delay,None
10550,Mostly Cloudy,Mostly Cloudy,2004-11-12,14,No Delay,None
10551,Mostly Cloudy,Mostly Cloudy,2004-11-13,14,No Delay,None
10552,Mostly Cloudy,Mostly Cloudy,2004-11-14,14,No Delay,None
10553,Mostly Cloudy,Mostly Cloudy,2004-11-15,14,No Delay,None
10554,Mostly Cloudy,Mostly Cloudy,2004-11-16,14,No Delay,None
10555,Mostly Cloudy,Mostly Cloudy,2004-11-17,14,No Delay,None
10556,Mostly Cloudy,Mostly Cloudy,2004-11-18,14,No Delay,None
10557,Mostly Cloudy,Mostly Cloudy,2004-11-19,14,No Delay,None
10558,Mostly Cloudy,Mostly Cloudy,2004-11-20,14,No Delay,None
10559,Mostly Cloudy,Mostly Cloudy,2004-11-21,14,No Delay,None
10560,Mostly Cloudy,Mostly Cloudy,2004-11-22,14,No Delay,None
10561,Mostly Cloudy,Mostly Cloudy,2004-11-23,14,No Delay,None
10562,Mostly Cloudy,Mostly Cloudy,2004-11-24,14,No Delay,None
10563,Mostly Cloudy,Mostly Cloudy,2004-11-25,14,No Delay,None
10564,Mostly Cloudy,Mostly Cloudy,2004-11-26,14,No Delay,None
10565,Mostly Cloudy,Mostly Cloudy,2004-11-27,14,No Delay,None
10566,Mostly Cloudy,Mostly Cloudy,2004-11-28,14,No Delay,None
10567,Mostly Cloudy,Mostly Cloudy,2004-11-29,14,No Delay,None
10568,Mostly Cloudy,Mostly Cloudy,2004-11-30,14,No Delay,None
10569,Mostly Cloudy,Mostly Cloudy,2004-12-01,14,No Delay,None
10570,Mostly Cloudy,Mostly Cloudy,2004-12-02,14,No Delay,None
10571,Mostly Cloudy,Mostly Cloudy,2004-12-03,14,No Delay,None
10572,Mostly Cloudy,Mostly Cloudy,2004-12-04,14,No Delay,None
10573,Mostly Cloudy,Partly Cloudy,2004-12-05,14,No Delay,None
10574,Mostly Cloudy,Mostly Cloudy,2004-12-06,14,No Delay,None
10575,Mostly Cloudy,Mostly Cloudy,2004-12-07,14,No Delay,None
10576,Mostly Cloudy,Mostly Cloudy,2004-12-08,14,No Delay,None
10577,Mostly Cloudy,Mostly Cloudy,2004-12-09,14,No Delay,None
10578,Mostly Cloudy,Mostly Cloudy,2004-12-10,14,No Delay,None
10579,Mostly Cloudy,Mostly Cloudy,2004-12-11,14,No Delay,None
10580,Mostly Cloudy,Mostly Cloudy,2004-12-12,14,No Delay,None
10581,Mostly Cloudy,Mostly Cloudy,2004-12-13,14,No Delay,None
10582,Mostly Cloudy,Mostly Cloudy,2004-12-14,14,No Delay,None
10583,Mostly Cloudy,Mostly Cloudy,2004-12-15,14,No Delay,None
10584,Mostly Cloudy,Mostly Cloudy,2004-12-16,14,No Delay,None
10585,Mostly Cloudy,Mostly Cloudy,2004-12-17,14,No Delay,None
10586,Mostly Cloudy,Mostly Cloudy,2004-12-18,14,No Delay,None
10587,Mostly Cloudy,Mostly Cloudy,2004-12-19,14,No Delay,None
10588,Mostly Cloudy,Mostly Cloudy,2004-12-20,14,No Delay,None
10589,Mostly Cloudy,Mostly Cloudy,2004-12-21,14,No Delay,None
10590,Mostly Cloudy,Mostly Cloudy,2004-12-22,14,No Delay,None
10591,Mostly Cloudy,Mostly Cloudy,2004-12-23,14,No Delay,None
10592,Mostly Cloudy,Mostly Cloudy,2004-12-24,14,No Delay,None
10593,Mostly Cloudy,Mostly Cloudy,2004-12-25,14,No Delay,None
10594,Mostly Cloudy,Mostly Cloudy,2004-12-26,14,No Delay,None
10595,Mostly Cloudy,Mostly Cloudy,2004-12-27,14,No Delay,None
10596,Mostly Cloudy,Mostly Cloudy,2004-12-28,14,No Delay,None
10597,Mostly Cloudy,Rain,2004-12-29,14,No Delay,None
10598,Mostly Cloudy,Mostly Cloudy,2004-12-30,14,No Delay,None
10599,Mostly Cloudy,Mostly Cloudy,2004-12-31,14,No Delay,None
10600,Mostly Cloudy,Mostly Cloudy,2005-01-01,14,No Delay,None
10601,Clear,Partly Cloudy,2005-01-02,14,No Delay,None
10602,Clear,Clear,2005-01-03,14,No Delay,None
10603,Clear,Clear,2005-01-04,14,No Delay,None
10604,Mostly Cloudy,Mostly Cloudy,2005-01-05,14,No Delay,None
10605,Mostly Cloudy,Mostly Cloudy,2005-01-06,14,No Delay,None
10606,Mostly Cloudy,Mostly Cloudy,2005-01-07,14,No Delay,None
10607,Mostly Cloudy,Mostly Cloudy,2005-01-08,14,No Delay,None
10608,Mostly Cloudy,Mostly Cloudy,2005-01-09,14,No Delay,None
10609,Mostly Cloudy,Mostly Cloudy,2005-01-10,14,No Delay,None
10610,Mostly Cloudy,Mostly Cloudy,2005-01-11,14,No Delay,None
10611,Mostly Cloudy,Mostly Cloudy,2005-01-12,14,No Delay,None
10612,Mostly Cloudy,Mostly Cloudy,2005-01-13,14,No Delay,None
10613,Mostly Cloudy,Mostly Cloudy,2005-01-14,14,No Delay,None
10614,Mostly Cloudy,Mostly Cloudy,2005-01-15,14,No Delay,None
10615,Mostly Cloudy,Mostly Cloudy,2005-01-16,14,No Delay,None
10616,Mostly Cloudy,Mostly Cloudy,2005-01-17,14,No Delay,None
10617,Mostly Cloudy,Mostly Cloudy,2005-01-18,14,No Delay,None
10618,Mostly Cloudy,Mostly Cloudy,2005-01-19,14,No Delay,None
10619,Mostly Cloudy,Overcast,2005-01-20,14,No Delay,None
10620,Mostly Cloudy,Mostly Cloudy,2005-01-21,14,No Delay,None
10621,Mostly Cloudy,Mostly Cloudy,2005-01-22,14,No Delay,None
10622,Mostly Cloudy,Mostly Cloudy,2005-01-23,14,No Delay,None
10623,Mostly Cloudy,Mostly Cloudy,2005-01-24,14,No Delay,None
10624,Mostly Cloudy,Mostly Cloudy,2005-01-25,14,No Delay,None
10625,Mostly Cloudy,Mostly Cloudy,2005-01-26,14,No Delay,None
10626,Mostly Cloudy,Rain,2005-01-27,14,No Delay,None
10627,Mostly Cloudy,Mostly Cloudy,2005-01-28,14,No Delay,None
10628,Mostly Cloudy,Mostly Cloudy,2005-01-29,14,No Delay,None
10629,Mostly Cloudy,Mostly Cloudy,2005-01-30,14,No Delay,None
10630,Mostly Cloudy,Mostly Cloudy,2005-01-31,14,No Delay,None
10631,Mostly Cloudy,Mostly Cloudy,2005-02-01,14,No Delay,None
10632,Mostly Cloudy,Mostly Cloudy,2005-02-02,14,No Delay,None
10633,Mostly Cloudy,Mostly Cloudy,2005-02-03,14,No Delay,None
10634,Mostly Cloudy,Mostly Cloudy,2005-02-04,14,No Delay,None
10635,Mostly Cloudy,Partly Cloudy,2005-02-05,14,No Delay,None
10636,Mostly Cloudy,Mostly Cloudy,2005-02-06,14,No Delay,None
10637,Mostly Cloudy,Mostly Cloudy,2005-02-07,14,No Delay,None
10638,Mostly Cloudy,Mostly Cloudy,2005-02-08,14,No Delay,None
10639,Mostly Cloudy,Mostly Cloudy,2005-02-09,14,No Delay,None
10640,Mostly Cloudy,Clear,2005-02-10,14,No Delay,None
10641,Mostly Cloudy,Mostly Cloudy,2005-02-11,14,No Delay,None
10642,Mostly Cloudy,Mostly Cloudy,2005-02-12,14,No Delay,None
10643,Mostly Cloudy,Mostly Cloudy,2005-02-13,14,No Delay,None
10644,Mostly Cloudy,Mostly Cloudy,2005-02-14,14,No Delay,None
10645,Clear,Clear,2005-02-15,14,No Delay,None
10646,Clear,Clear,2005-02-16,14,No Delay,None
10647,Clear,Clear,2005-02-17,14,No Delay,None
10648,Mostly Cloudy,Partly Cloudy,2005-02-18,14,No Delay,None
10649,Mostly Cloudy,Mostly Cloudy,2005-02-19,14,No Delay,None
10650,Mostly Cloudy,Mostly Cloudy,2005-02-20,14,No Delay,None
10651,Clear,Clear,2005-02-21,14,No Delay,None
10652,Clear,Clear,2005-02-22,14,No Delay,None
10653,Clear,Clear,2005-02-23,14,No Delay,None
10654,Clear,Clear,2005-02-24,14,No Delay,None
10655,Mostly Cloudy,Mostly Cloudy,2005-02-25,14,No Delay,None
10656,Mostly Cloudy,Clear,2005-02-26,14,No Delay,None
10657,Mostly Cloudy,Mostly Cloudy,2005-02-27,14,No Delay,None
10658,Mostly Cloudy,Mostly Cloudy,2005-02-28,14,No Delay,None
10659,Mostly Cloudy,Mostly Cloudy,2005-03-01,14,No Delay,None
10660,Mostly Cloudy,Mostly Cloudy,2005-03-02,14,No Delay,None
10661,Mostly Cloudy,Mostly Cloudy,2005-03-03,14,No Delay,None
10662,Mostly Cloudy,Mostly Cloudy,2005-03-04,14,No Delay,None
10663,Mostly Cloudy,Mostly Cloudy,2005-03-05,14,No Delay,None
10664,Mostly Cloudy,Mostly Cloudy,2005-03-06,14,No Delay,None
10665,Clear,Mostly Cloudy,2005-03-07,14,No Delay,None
10666,Mostly Cloudy,Mostly Cloudy,2005-03-08,14,No Delay,None
10667,Clear,Clear,2005-03-09,14,No Delay,None
10668,Clear,Mostly Cloudy,2005-03-10,14,No Delay,None
10669,Clear,Clear,2005-03-11,14,No Delay,None
10670,Clear,Clear,2005-03-12,14,No Delay,None
10671,Clear,Clear,2005-03-13,14,No Delay,None
10672,Clear,Clear,2005-03-14,14,No Delay,None
10673,Clear,Mostly Cloudy,2005-03-15,14,No Delay,None
10674,Mostly Cloudy,Mostly Cloudy,2005-03-16,14,No Delay,None
10675,Mostly Cloudy,Mostly Cloudy,2005-03-17,14,No Delay,None
10676,Mostly Cloudy,Mostly Cloudy,2005-03-18,14,No Delay,None
10677,Mostly Cloudy,Mostly Cloudy,2005-03-19,14,No Delay,None
10678,Mostly Cloudy,Mostly Cloudy,2005-03-20,14,No Delay,None
10679,Mostly Cloudy,Mostly Cloudy,2005-03-21,14,No Delay,None
10680,Mostly Cloudy,Mostly Cloudy,2005-03-22,14,No Delay,None
10681,Mostly Cloudy,Mostly Cloudy,2005-03-23,14,No Delay,None
10682,Mostly Cloudy,Mostly Cloudy,2005-03-24,14,No Delay,None
10683,Mostly Cloudy,Mostly Cloudy,2005-03-25,14,No Delay,None
10684,Mostly Cloudy,Mostly Cloudy,2005-03-26,14,No Delay,None
10685,Mostly Cloudy,Mostly Cloudy,2005-03-27,14,No Delay,None
10686,Mostly Cloudy,Mostly Cloudy,2005-03-28,14,No Delay,None
10687,Mostly Cloudy,Mostly Cloudy,2005-03-29,14,No Delay,None
10688,Mostly Cloudy,Mostly Cloudy,2005-03-30,14,No Delay,None
10689,Mostly Cloudy,Mostly Cloudy,2005-03-31,14,No Delay,None
10690,Mostly Cloudy,Mostly Cloudy,2005-04-01,14,No Delay,None
10691,Mostly Cloudy,Mostly Cloudy,2005-04-02,14,No Delay,None
10692,Mostly Cloudy,Mostly Cloudy,2005-04-03,14,No Delay,None
10693,Mostly Cloudy,Mostly Cloudy,2005-04-04,14,No Delay,None
10694,Mostly Cloudy,Mostly Cloudy,2005-04-05,14,No Delay,None
10695,Partly Cloudy,Mostly Cloudy,2005-04-06,14,No Delay,None
10696,Mostly Cloudy,Mostly Cloudy,2005-04-07,14,No Delay,None
10697,Mostly Cloudy,Mostly Cloudy,2005-04-08,14,No Delay,None
10698,Mostly Cloudy,Partly Cloudy,2005-04-09,14,No Delay,None
